institute,DevEui,profile,classroom
ARMELLINI,A84041669187F437,finestra,3A
ARMELLINI,24E124707E254786,iaq,3A
ARMELLINI,A84041BF4187F446,porta,3A
ARMELLINI,A84041EFF187F44E,finestra,5L
ARMELLINI,A84041C79187F436,finestra,5L
ARMELLINI,24E124707E252781,iaq,5L
ARMELLINI,A84041663187F438,porta,5L
ARMELLINI,A84041045187F439,finestra,4L
ARMELLINI,A84041B42187F42B,finestra,4L
ARMELLINI,24E124707E253386,iaq,4L
ARMELLINI,A84041861187F447,porta,4L
ARMELLINI,A84041A35187F429,finestra,3E
ARMELLINI,A8404104C187F442,finestra,3E
ARMELLINI,24E124707E253487,iaq,3E
ARMELLINI,A840414F5187F445,porta,3E
ARMELLINI,A84041B91187F425,finestra,3B
ARMELLINI,A84041E94187F434,finestra,3B
ARMELLINI,24E124707E253420,iaq,3B
ARMELLINI,A84041982187F426,porta,3B
ARMELLINI,A840413D1187F44D,finestra,1D
ARMELLINI,24E124707E252758,iaq,1D
ARMELLINI,A84041E1E187F45D,porta,1D
ARMELLINI,A84041994187F45E,finestra,1D
ARMELLINI,A840414FB187F460,finestra,1A
ARMELLINI,A84041D1B187F45B,porta,1A
ARMELLINI,A840414F5187F448,finestra,1A
ARMELLINI,24E124707E252173,iaq,1A
ARMELLINI,A840412B3187F424,finestra,1E
ARMELLINI,A840418BD187F43A,finestra,1E
ARMELLINI,A840415FE187F463,porta,1E
ARMELLINI,24E124707E254785,iaq,1E
ARMELLINI,A840411A7187F40A,porta,1G
ARMELLINI,24E124707E254792,iaq,1G
ARMELLINI,A84041F29187F423,finestra,1G
ARMELLINI,A84041352187F41D,finestra,1G
ARMELLINI,A840413D6187F422,porta,5A
ARMELLINI,A84041E7E187F40E,finestra,5A
ARMELLINI,24E124707E254833,iaq,5A
ARMELLINI,A84041C02187F41F,finestra,3L
ARMELLINI,A84041FB5187F43B,finestra,3L
ARMELLINI,A84041FEF187F462,porta,3L
ARMELLINI,24E124707E253121,iaq,3L
ARMELLINI,24E124707E252768,iaq,1B
ARMELLINI,A8404158F187F42A,porta,1B
ARMELLINI,A84041948187F412,finestra,1B
ARMELLINI,A8404177D187F41E,finestra,1B
ARMELLINI,24E124707E253562,iaq,2E
ARMELLINI,A84041892187F461,finestra,2E
ARMELLINI,A84041F06187F42C,finestra,2E
ARMELLINI,A84041E78187F42F,porta,2E
ARMELLINI,24E124707E253549,iaq,2D
ARMELLINI,A84041FBA187F42E,finestra,2D
ARMELLINI,A84041D48187F40C,finestra,2D
ARMELLINI,A8404124F187F428,porta,2D
ARMELLINI,A84041DB8187F449,porta,5E
ARMELLINI,24E124707E252164,iaq,5E
ARMELLINI,A840415D8187F432,finestra,5E
ARMELLINI,A84041771187F452,finestra,5E
ARMELLINI,A84041461187F46A,porta,3G
ARMELLINI,24E124707E252080,iaq,3G
ARMELLINI,A84041DB0187F409,finestra,3G
ARMELLINI,A8404111B187F44C,finestra,3G
ARMELLINI,A840417E7187F44F,finestra,3G
ARMELLINI,A84041CEE187F40D,finestra,5G
ARMELLINI,24E124707E253578,iaq,5G
ARMELLINI,A840413FA187F43C,porta,5G
ARMELLINI,A84041B78187F443,finestra,5G
ARMELLINI,A84041D6C187F410,finestra,5G
ARMELLINI,A84041BCC187F43D,finestra,5G
ARMELLINI,A840416DB187F45C,finestra,3H
ARMELLINI,24E124707E253561,iaq,3H
ARMELLINI,A8404108F187F417,porta,3H
ARMELLINI,A84041391187F416,finestra,3H
ARMELLINI,A840413DD187F420,finestra,3H
ARMELLINI,A8404176A187F467,finestra,3H
ARMELLINI,A84041D9C187F45A,porta,3M
ARMELLINI,24E124707E253396,iaq,3M
ARMELLINI,A84041D94187F444,finestra,3M
ARMELLINI,A840413B3187F454,finestra,3M
ARMELLINI,A840413AF187F459,porta,3L
ARMELLINI,24E124707E252153,iaq,3L
ARMELLINI,A840411FE187F43F,finestra,3L
ARMELLINI,A84041FBC187F43E,finestra,3L
ARMELLINI,A84041037187F440,finestra,3L
ARMELLINI,A84041DED187F408,finestra,3L
ARMELLINI,A840417B3187F450,porta,2L
ARMELLINI,24E124707E252326,iaq,2L
ARMELLINI,A840419C4187F433,finestra,2L
ARMELLINI,A84041489187F455,finestra,2L
ARMELLINI,A840415F5187F44A,finestra,2L
ARMELLINI,A84041571187F453,finestra,2L
ARMELLINI,24E124707E252608,iaq,3M/F
ARMELLINI,A840413BF187F477,finestra,3M/F
ARMELLINI,A84041C36187F466,finestra,3M/F
ARMELLINI,A84041E57187F407,finestra,3M/F
ARMELLINI,A840410EA187F470,finestra,3M/F
ARMELLINI,A84041E78187F468,porta,3M/F
ARMELLINI,A84041A2E187F406,finestra,3D
ARMELLINI,A8404108D187F414,finestra,3D
ARMELLINI,A8404130C187F475,finestra,3D
ARMELLINI,A84041551187F41B,finestra,3D
ARMELLINI,A8404120E187F464,porta,3D
ARMELLINI,24E124707E252867,iaq,3D
ARMELLINI,A84041DC0187F481,finestra,3I
ARMELLINI,A84041A80187F46D,finestra,3I
ARMELLINI,A840413CF187F469,finestra,3I
ARMELLINI,A8404184A187F479,finestra,3I
ARMELLINI,24E124707E253634,iaq,3I
ARMELLINI,A84041BD0187F485,porta,3I
ARMELLINI,24E124707E254046,iaq,4H
ARMELLINI,A84041151187F418,porta,4H
ARMELLINI,A84041391187F435,finestra,4H
ARMELLINI,A8404116E187F458,finestra,4H
ARMELLINI,A84041269187F45F,finestra,4H
ARMELLINI,A8404179B187F430,finestra,4H
ARMELLINI,A8404142A187F465,finestra,3G
